,title,date,content
10,"자전거 국토종주, 4박 5일 추천 코스 및 정보",2020.09.18.,"인천에서 부산을 잇는 자전거 국토종주 코스는 600km가 넘는 거리와 우리나라를 자전거로 횡단하는 것만으로도 크게 의미를 부여할 수 있다. 하지만, 막상 떠날 계획을 세우다보면 숙박, 먹거리, 화장실, 쉼터 등에 대한..."
11,국토 종주의 시작? 첫번째 도장찍기,2021.08.08.,"카페 회원분들 중 국토 종주하시는 분들 참 대단하시다는 생각을 하며 얼마전 가족 수첩을 만들었습니다. 만들었으면 시작은 해야겠다 싶어. 가장 가까운 지점인 뚝섬을 찾아봅니다. 첫번째 도장을 찍었는데, 위치를 광나루..."
12,"자전거 국토종주 3일차 코스 충주탄금대-이화령휴게소 팁,후기",2021.08.17.,국토종주 3일차 아침에 일어나보니 앞바퀴 펑크... 다행히 충주시청에 숙소를 잡아서 주변에 자전거 수리점이 있었어요 튜브 패치로 임시 조치를 하고 밖에 나와보니 비가 많이 오고 있었어요 어차피 이왕 이렇게 된거...
13,"아들의 입대 100일, 입대전 자전거 국토종주",2021.07.25.,"(입대는 4월 12일) 자전거 국토종주를 하겠다고 나선 아들. 완전한 종주는 아니고 서울에서 대구까지. ""아니, 군대가서 고생할텐데 왜 미리 사서 고생을 하지?"" 심야버스 타고 서울가서 내려온다며 야밤에 길을 나서는..."
14,자전거 국토종주 준비물 : 자전거 종주수첩 국토종주코스 지도,2021.04.06.,인증 수첩을 구입하면 슽탬스 순서는 상관 없이 스탬프 날인이 된걸 확인할 수 있구요 구간 마다 스탬프를 받아 채우면 구간별 종주 할때마다 인증 스티커를 받을 수 있고 4대강 종주와 국토 종주까지 완주하고 나면...
15,자전거 국토종주ㅣ초등학교 아이와 함께ㅣ자전거여행 준비하기1,2021.07.19.,"동네 자전거 타는 수준 아빠와 초딩 4학년 아들, 국토종주 자전거 여행가기로 했다. 근데..뭐부터 준비하지... 다시 여름이 오고 자연스럽게 이번엔 국토종주 목표를 세웠다. 어느새 불쑥 커버린 아이와 이래저래 자전거..."
16,딸과 함께 다녀온 국토종주,2021.08.14.,"서해갑문에서 충주까지는 전철과 버스를 이용하여 당일치기로 4일간 종주했고 충주에서 구미까지 2박 3일, 구미에서 부산까지 1박 2일로 9일동안 국토종주를 마무리했습니다. 혹시 긴 시간을 내기가..."
17,떠난다 동해로 [자전거 국토종주 도장 찍기 여행],2021.07.12.,작년에 이어 올해도 자전거 국토종주 도장 찍으러 간다. 이번엔 전기자전거로 캠핑하면서 가보려고. 이렇게까지 계획이 빨리 이루어질지 몰랐는데 초등학교 방학 전에 가야 사람도 없고 캠핑장도 저렴하기에 냅다. 일정을...
18,국토종주 도장깨기,2021.08.13.,국토종주 도장찍기 하고 있어요! 어제 천안 출발해서 지금은 달성보에 있습니다. 오토바이는 못 들어가니깐 뺑뺑 돌아서 가고 못가는 곳은 걸어서 가야하고 시간적으로 그렇게 많이 차이가 안나는거 같은 느낌적인 느낌이...
19,부천사람의 나도 해보는 3박 4일간의 국토종주 :),7일 전,"이유도 국토종주를 가고 싶어서 사게 되었고, 장마가 올라온다는 소식에 부랴부랴 준비해서 8/16 ~ 8/19로 국토종주를 다녀왔습니다 :) 원래 계획은 2박3일 코스를 계획하였으나 사건사고가 많아 하루가 늘어버린 저의..."
20,아들과 자전거 국토종주 1일차 (정서진~양평),어제,"이번이 세 번째 국토종주지만, 2014, 2015년으로부터 벌써 6년이나 지났고, 얼마전 친한 형님과의 섬진강... 첫 자전거 종주의 설렘과 기분이 과거의 기억으로부터 되살아가는 것 같았다. 그리고 이번엔 아들과 함께다...."
21,자전거 국토종주 자전거 여행,6일 전,"자전거 국토종주 자전거 여행 잇님들 비 피해는 없으신가요~오늘은 아침부터 비가 올듯 말듯 ! 부슬부슬 내리다가도 멈추고, 자전거 여행이라 해야 할까요 ㅎ 도착하면 비는 오지 않겠지 하면서 출발! 자전거 국토종주..."
22,국토종주 시 타이어 공기압 문의,2021.07.21.,"부산 국토종주 예정인 자린이 입니다 ^^ 필요한 용품 이것 저것 전부 다 구매 완료 하였는데요, 공기압이 좀 걱정이 되네요. 저는 로드 타고 있고 항상 앞바퀴 90/뒷바퀴 100에 맞추고 보통 라이딩을 나가는데, 국토종주시..."
23,#나의여름나기 #국토종주 여신 메이커 준비중,2021.07.31.,아빠와 딸이 네년에 같이 국토종주를 하자며 올초부터 국토종주 영상도 보여주고... 아빠가 먼저 갔다 와볼께. 어떤지? 할 수 있을지? 결국 다녀왔다. 마지막날에는 비맞으며 233~240킬로 타서 정말 힘들었다. 숙소에...
24,"엄마와 중학생, 초등학생 세아들 국토종주 완주했습니다.",2021.08.11.,"종주에 대한 정보들은 저보다 카페에 좋은 내용들이 훨씬 많기 때문에 굳이 적지 않겠습니다. 다만, 국토종주는 거창한게 아니라 저처럼 운동 별로 못하는 엄마도 아이들과 큰 준비없이 떠나도 할수 있는, 즉 누구든지..."
25,자전거로 떠나는 국토종주 3. 구미보 ~ 이화령 고개 휴게소,2021.05.17.,전날 잤던 숙소 종주기간동안 잤던 숙소중에 제일 깔끔한 숙소가 아니었나 싶었던! 그리고 로제찜닭을... 4박5일간의 국토종주 기간동안 유일하게 찍은 단체사진! 여기서 먼저 사진찍으시던 남자분이 찍어주셨당! 평화의...
26,브롬핑 국토종주 1일차 Part 2,2021.05.26.,6시 기상을 알리는 벨이 울린다 이대로 늦잠 자면 참 좋겠다 하지만 이미 종주는 시작 됐고 앞으로 587km를 더... 패스하고 바로 잠자리에 들었다 누적 주행거리 180km / 남은거리 453km #블챌 #오늘일기 #국토종주 #브롬톤 #브롬핑
27,국토종주 낙동강자전거길 [대구 숙박 하얀집민박 1박2일 여행],2021.04.16.,"안내 국토종주 자전거길 우리나라에 자전거코스는 북한강자전거길, 아라자전거길, 오천자전거길, 금강자전거길, 영산강자전거길, 섬진강자전거길, 제주환상자전거길, 동해안자전거길 강원구간과 경북구간, 한강종주자..."
28,국토종주,3일 전,2021.06.26~2021.07.02 자전거 국토종주를 떠났다. 원래는 생각만 하고 있었는데 알바하고 공부하면 갈 시간이... 무늬가 진짜 너무 멋있다 낙동강 종주길 문경에서 6시에 출발했다. 어제 너구리를 치고 그 전날에 수달을 박을...
29,초5 - 자전거 국토종주 중 ; 새재 자전거길 종주 완료,2021.07.16.,ㅋㅋ 자전거길과 차도가 만나는 곳에서 기다려서 달리는 남편과 딸을 만났다. 드디어!! 새재 종주! 이제 국토 종주까지 낙동강만 남았다. 어우 험난한 길 예상됌 . 올해 목표한 국토종주도 이제 절반이 지난 것 같다.
30,방학을 맞아 아버지와 아들들의 자전거국토종주 선생님들의 자전거국토종주 많습니다 달성보민박하얀집,2021.07.24.,여름방학엔 달성보민박하얀집 많이 바빠요 어제 오늘 많은 예약전화도 오고 그동안 오셨던 국토종주자들께... 자전거국토종주 길에 나섰습니다 그동안 여행도 많이 하셨고 퇴직도 얼마 남지 않아 남미 여행을...
31,국토종주 자전거길 완주 인증서와 메달 수령,2021.06.28.,"지난 금요일(2021.6.24) 안동댐에서 창녕함안보까지의 낙동강 구간을 2박 3일의 일정으로 마침으로써 국토종주와 낙동강 자전거길 종주를 마무리 지었다. 다음날 12,000원을 송금하면서 인증 메달을 신청했는데 오늘 택배로..."
32,국토 종주 후기(6/21~6/26),2021.06.26.,"그리고 국토종주이긴 하지만 100% 국종루트를 따른 것은 아니고 부산에서 저희 집으로 바로 오는 경로로... [국토종주] 3박 4일 국토종주 후기(준비물, 숙소후기 및 유의사항 포함) https://cafe.naver.com/bikecity/2488823..."
33,서울-부산 자전거 국토종주 준비물 총정리,4일 전,"남한강, 북한강, 한강, 금강, 동해안 등 다양한 종주를 했는데 서울-부산 국토종주는 아직 마무리를 못했네요.. 아마 저처럼 9월에 날씨가 풀리고 긴 연휴에 국토종주를 준비하는 분들이 많이 계실 것 같아서 제가 지금까지..."
34,자전거 국토종주 코스 자전거길과 4대강 종주길(한강.낙동강.금강.영산강.동해안.섬진강)여행지도,2021.08.13.,국토종주 수첩이 뒤늦게 나오게 되었고 저는 모든 국내 자전거길을 달려봤음에도 국토종주 수첩을 뒤늦게 사게 되어서 오히려 초창기 자전거 국토 여행자임에도 불구하고 국토종주 수첩이 없답니다 ㅋ 자전거 종주보...
35,서울 에서 부산 자전거 국토종주 3박4일,2021.04.02.,2일차 충주에서 경북 구미 까지 자전거 종주 수주팔봉 도착 캠핑하기 좋네요 아침은 수안보에서 해결합니다 꿩이 저보다 커요^^ 드디어 4대강 국토종주의 첫 관문 이화령 도착 무정차(한번도 자전거에서 내리지...
36,자전거 국토종주 -아라 서해갑문에서 부터,2021.07.30.,인천에서 부산까지 633km의 자전거길을 종주(왕복) 하기 위하여 출발점인 아라 서해 갑문 인증센터를... ㅋ 경인아라뱃길 아라서해갑문 안내센터 자전거 수첩 구입 국토종주 자전거길 인증센터 안내도를 보니 우리나라...
37,국종시즌 국토종주 2박3일 셋째날 (부산->서울),2021.06.04.,국토종주 DAY 3 국종시즌 국토종주 2박3일 (부산->서울) 코스 : 이화령-수안보-탄금대-충주댐-비내섬-강천보-여주보-이포보-양평군립미술관-능내역-광나루 총 205.22km 드디어 대장정의 마지막날!ㅋㅋㅋ 서울까지...
38,[국토종주] 섬징강 종주 미니벨로 여행 -1-,2021.07.30.,"2021년 7월 25일 섬진강 종주 1일 차 6시, 동서울에서 광양으로 가는 새벽 첫차를 타고 일찍 광양으로 내려갈... 섬진강 / 영산강 종주 사람들 하는 거 보니 당일치기 코스였다. 죽자 하고 달릴 것도 아니었고 난 여유롭게 3일의..."
39,"자전거길 국토종주# 낙동강 자전거길 안동댐 인증센터, 안동하회마을",2021.07.31.,국토종주를 하게 되면 낙동강 자전거길 인증센터 중에 안동댐 인증센터를 제외한 나머지는 전부 찍게 되기 때문에 안동댐 인증센터를 나중에 따로 찍을 수 밖에 없었다. 안동댐 인증센터를 인증해야 낙동강 자전거길 종주...
40,의령군 낙서면 4대강 국토종주길 낙동강 자선거길,2021.07.06.,의령군 낙서면 4대강 국토종주길 낙동강 자선거길 의령군 블로그 기자단 서정호 4대강 국토 종주길 중 낙동강 자전거길이 의령군 낙서면 지역을 흐르고 있는 낙동강 변을 따라 설치되어 있습니다. 낙서면 지역은 박진...
41,국토종주 #2 - 라이딩 용품준비,2021.01.29.,ktx나 고속버스이동을 고려해서 접이식 미니벨로로 종주계획이라 아마 왼쪽사진이 딱 내자전거사진될듯. 엉뽕. 자출할때 항상 50-60km정도만 이동해서 전혀 생각도 안하고있던물건. 국토종주할때 이거없으면 지옥을...
42,국토종주 3일차. 국토종주 완료,2021.05.09.,"#국토종주 #블책 #오늘일기 드디어 완료. 서울에서 부산까지 1일차 134km, 2일차 300km, 3일차 149km. 총 583km를... 분명 종주도로는 직진으로 표시되어 있다. 콘크리트 도로는 다 훼손되서 뽀족한 골재만 남아있다. 비포장보다..."
43,국토종주 자전거길 / 낙동강 자전거길 구미 코스 (구미보-동락공원-구미보),6일 전,많이 걸렸어요 마음 놓고 자전거 라이딩을 할 수 있었으면 좋겠습니다. 코로나야 물렀거라~~ #영남일보 #낙동강 #낙동강자전거길 #국토종주자전거길 #구미보 #팻바이크 #그래블팻바이크 #gravelbike #bike #fatbike #자전거라이딩
44,"라이딩코스 추천, 국토종주의 시작점인 ‘경인아라뱃길 자전거도로’",2021.05.31.,"아라뱃길 자전거도로를 타면 인천 계양, 검암,청라지역을 지나 국토종주의 시작점인 '아라뱃길... 광화문을 기준으로 동쪽은 정동진, 서쪽은 정서진 국토종주의 시작점이다. 한강~낙동강거쳐 부산까지 총633km! 국토종주..."
45,강원도 동해안 7번 국도 여행 국토종주 자전거길 고성 송지호해수욕장 자연호수 송지호,2일 전,국토종주 동해안 자전거길 국토종주 동해안 자전거길 삼척 임원항에서 고성 통일전망대까지 국토종주 동해안 자전거길 242km 송지호 둘레길도 그 중 일부. 자전거 타고 국토종주도 하고 싶고 아마도 통일이 되기 전엔...
46,자전거 국토종주 메달 :) 내마음에 금빛,2021.05.17.,"자전거 국토종주 메달 :) 내마음에 금빛 #자전거국토종주메달 벌써 한달이 지났다. 4월 24일은 나의... #4대강종주 (한강,낙동강,영산강,금강) 한강과 낙동강은 끝났으니 영산강과 금강종주가 남은것 #국토완주그랜드슬램 이..."
47,"[이벤트] 2021 추석 특가 국토종주 전용 고급 자전거 대여, 일주일간 10만원 (100대 한정 이벤트), 자전거...",3시간 전,자전거 국토종주 베이스캠프 #바이크로 #자전거여행 2021년 #코로나 시국에 맞춰 특가 #이벤트... 2021 #코로나 #추석 #특가 #이벤트 국토종주 전용 고급 자전거 대여 선선해진 가을 자전거 타기 너무나 좋습니다!!...
48,국토종주 제주 환상 자전거길 당일치기 일주 라이딩,2021.08.11.,이곳에서 국토종주 인증을 받을 수 있었다. 용두암 한치빵도 먹었다. 번쩍거리는 제주 환상 자전거길 인증 스티커. 별거 아닌데 보람차긴 하다. 스트라바 기록 정리 주행거리 212km 주행시간 11:44 평균속도 18.1km/h...
49,[국토종주記] 오천(五川) 자전거길,2021.05.26.,"국토완주 그랜드슬램을 위해 오천자전거길로 달려가 봅니다.오천 자전거길은 충북 괴산군에서 증평, 청원을... 아울러 이 자전거길은 국토종주자전거길 중 새재자전거길과 금강자전거길도 연결하는 코스로서..."
50,8월 여름 자전거 국토종주 완주! 전기 미니벨로 │다시는 안 할 여행ㅋㅋ,2021.08.15.,국토종주 맛보기 영상 인천-부산 자린이 자전거 국토종주 완주!!! 언젠가 젤 힘들었냐고 물어본다면 그냥 다..요..ㅋㅋ 그래도 한번쯤 해볼만합니다^^ 자전거 국토종주는 한번으로 만족하고 기회되면 제주도랑 4대강코스...
51,자전거 국토종주 / 남한강 자전거길 / 종주 / gpx파일,2021.03.08.,갑자기 떠난 남한강종주 자전거길 이제 조금씩 조금씩 국토종주 도장깨기를 다녀봐야겠습니다 주로 한강 아니면 아라뱃길로 자전거 라이딩을 나가는데 이젠 국토종주를 조금씩 도전해봐야겠습니다 그럼... 날씨가 조금씩...
52,영종도휴게소 경인항아라뱃길 노을촬영 자전거 국토종주 출발지,2021.06.13.,인천에 살면서도 잘 가보지 못한 경인항 아라뱃길 자전거 국토종주 출발지 아라뱃길 공원입니다. 마침 날씨가... 힐링 한번 해보세요 #경인항아라뱃길 #아라빛섬 #정서진 #인천아라뱃길 #4대강자전거출발지 #전국종주자전거길
53,국토종주 완주했습니다~,2021.07.04.,"●예절을 지키고,회원을 존중하며 올바른 자출사 활동해주세요 정말 길고 길었던 국토종주를 드디어 완주했습니다 국토종주 벽은 정말 높고 험난했습니다 작년 8월 갑작스런 태풍발생과 늦은 가을장마 폭우에 각지역..."
54,[자전거 국토완주 그랜드슬램]두번째 이야기(국토종주 남한강자전거길),2021.06.18.,첫번째이야기에서 말씀드렸듯 한강종주자전거길은 한강종주자전거길(서울구간)+국토종주 남한강자전거길이... 야금야금 언넝 국토완주 그랜드슬럼 종주 하고싶어요!!! 아그리고~~ 자전거길 다리는 내내 블루베리같은거...
55,자전거 국토 종주의 시작과 끝... 정서진을 가다,2021.07.30.,많은 분들이 자전거 국토 종주를 시작하기 위해 찾는 곳 '정서진' 오늘은 이 곳을 목적지로 정하고 집에서... 자전거 국토 종주를 하게 되면 수첩에 하나 하나 도장을 찍어봐도 좋을 듯!! 이곳을 통해 부산까지 633km 와...
56,<건강한 인생> 동네 한 바퀴-국토종주에 대하여,2021.05.25.,시작되었으나 종주코스는 2011년에 완공되었다. 표 34에 각 구간별 길이를 나타냈다. 표 34 국토종주 인증... 자전거 여행이 단발에 그치는 것이 아니라 즐겁고 편해서 또 가고 싶다면 국토사랑 운동은 저절로...
57,국토종주 추천 자전거 알톤 알시티 엔도 24 재입고,2021.05.22.,국토종주 추천 자전거 알톤 알시티 엔도 24 모델이 재 입고 되었습니다. 알톤 알씨티 엔도 24 모델은 알루미늄... 흡수능력으로 국토종주와 같은 장거리 라이딩을 하기에 적합한 자전거 모델입니다. 이번 입고 색상은...
58,9월 자전거 국토종주 구독신청을 받습니다,4일 전,자전거로 국토종주를 해보려고요. 그게 뭐? 요즘 자전거로 국토종주하는 게 뭐 대수라고요. 저에게는 대수예요. 자전거로 전국을 돌아볼까? 생각만으로도 겁이 덜컥 났으니까요. 어디서 자지? 뭘 가지고 가야 하지?...
59,국토종주 자전거 수첩 언박싱(feat.이웃블로거jay님),7일 전,"국토종주 자전거길 수첩이다 ^0^// 그래, 자전거를 탄다면 한번쯤 도전하고 싶고, 도장 찍고 싶은 마음... 오호.ㅎㅎ 목차와 수첩 주인(?) 정보 기입란이 있고, 얼마전 jay님께서 국토완주 그랜드슬램 인증 받으셨는데, 전 구간..."
60,(국토종주) 로드로 장거리할 때 매일 공기압체크는 어떻게 하나요,2일 전,************************************************ 안녕하세요 로드로 국토종주 장거리 할 경우 매일 아침 공기압체크를 어떻게 하나요? co2로 충분할까요? 핸드펌프로는 제대로 안들어 간다고 하던데요 조언 부탁합니다
61,자전거국토종주,2021.08.10.,2021.8.9 자전거국토종주 인천 서해아라갑문에서 부산 낙동강 하구둑까지 대장정을 시작했다. 멋진아들 날씨가 너무 더워서 걱정이긴 한데 633km를 3박4일동안 달린단다 친구들과 함께 좋은 추억이길 완주해라 화이팅...
62,2021년 1월 국토종주 이야기,2021.04.29.,설리 팻바이크를 구매한 이후로 국토종주는 저의 꿈이었습니다. 설리와 떠나는 낭만있는 여행~을 꿈꿨지만... 종주 후기를 보면 낙동강은 지루하다는 평이 많은데.. 거의 평지여서 저는 좋았습니다 ㅎㅎ 드디어 등장한...
63,국토종주 인천에서 시작할때 숙박과 이동 어떻게 하시나요??,5일 전,"(정서진)까지 가는방법 (질문2) 국토종주 시작 전 인천에서 숙박하셨다면 어디에서 하셨는지.. 이 두가지 질문이구요, 경험하신분들이나 앞으로 하실분들 계시다면 꼭 좀 알려주세요 ^^ 미리 감사합니다!!!"
64,국토종주(인천-부산) 교통편 문의,2021.08.12.,9월초 국토종주를 가고자 합니다. 경남 김해에서 심야버스를 타고 인천공항에 도착하면 새벽 3시 정도가 될거 같습니다. 공항철도 첫차가 5시 넘어 있으니 2시간 정도를 기다려야 하는대요…혹시 쉬면서 시간 보낼 곳이...
65,#국토종주 #인증서 수취,5일 전,"실은 #국토종주 중에 #충주댐인증센터 를 찍지 못해서 #남한강종주 #인증도장 은 받지 못했고요, 역시 같은 이유로 #안동댐인증센터 를 찍지 못해서 #낙동강종주 #스티커 는 받지 못했습니다. #안동댐인증센터 와..."
66,국토종주후 골병났네요. ㅠㅠ,2021.07.30.,"●예절을 지키고,회원을 존중하며 올바른 자출사 활동해주세요 7월6일부터 ~9일까지 국토종주 하고 돌아왔는데 그담주에 출근하면서 따로 휴식기간없이 매일하던 아침저녁 운동 하고 토요일날 허벅지 풀어준다고 자전거..."
67,"633km의 자전거 국토종주, 이제는 끝내자",2021.07.02.,작년 10월에 국토종주를 한 이후 빠른 시일 내에 4대강 코스를 마치고 싶었으나 날씨가 추워지는 바람에... 날씨도 풀렸고 3일의 시간이 생겨서 이번 기회에 미뤄왔던 국토종주 4대강 코스를 마치기로 했어요. 고속터미널...
68,버디 국토종주 시작,2021.06.06.,지금은 아니구요... 곧 도전 한다구요... 국토종주 수첩도 오늘 샀습니다. 배둘레햄 선생님 만나서 스템 교환하고 점심 같이하고 셋이 아래뱃길 끝까지 달렸네요 국토종주 시작을 인증합니다!!!
69,"국토종주 완료 (혼자, 나눠서)",2021.08.15.,"●예절을 지키고,회원을 존중하며 올바른 자출사 활동해주세요 오전에 국토종주 완료하고 시원한 냉면... 8.15일 오전에 남지읍에서 낙동강하구둑까지 종주. 첫번째가 7월날이라 너무 더워서 한시간 라이딩에 한시간..."
70,국토종주 중간에 써보는 통증,2021.06.13.,국토종주 2일차입니다. 3박4일 일정으로 서울 영등포에서 시작해 하루 180km씩 3일 달리고 마지막날 오전안에... 안장도 꽤 높여서 구부리고 타다보니 더 그런가봐요 국토종주 한다고 갈매기 바로 교체하신분이 있을지...
71,국토종주 1일차,7일 전,처음 자전거를 접하였을 때부터 국토종주라는 주제는 항상 내 머릿속을 맴돌았다. 언젠가는 해보겠다는... 그리고 마침 같이 자전거를 타는 친구가 군대를 제대하고 우리 이제 국토종주해야 하지 않겠냐는 말을 했다. 맞다...
72,국토종주 시 어떤 타이어가 가장 좋을까요?,2021.07.06.,"올여름 여자친구와 함께 버디로 국토종주를 계획하고 있습니다. 저는 스탠다드, 여자친구는 GT를 타고... 코작 사용이 종주 시 우려할 정도인지요? 물론 종주 시 스페어 타이어와 튜브 지참할 계획입니다. 안전이냐 속도냐..."
73,[첼로 케인D7] 국토종주 _ 04,5일 전,빠르게 지난거 같아서 조금 아쉽기도 하고 진짜 몸이 적응이 되서 그런지 생각보다 힘든것도 덜했다 그렇게 5일차 마무리 . . . 6일차로 넘어 갑니다 #첼로케인D7 #자전거국토종주 #스페셜라이즈드타막 #자전거여행 #박진고개
74,국토종주 vs 동해안 자전거길 + 질문이요,2021.07.30.,동해안 종주 후 제주환상 자전거길 갔다가 단풍 질때쯤 일반 국토종주?(633km코스)를 가보려고 마음을 정했는데 동해안 자전거길이 초보에게 난이도가 높다는 글을 많이 봐서 고민이되네요 낙타등 같은 코스가 많은건...
75,국토종주 타이어 변경질문,2021.08.18.,물론 제엔진이 최악이지만 그나마 타이어를 바꾸면 조금 이라도 따라갈수 있지않을까싶어서 38c 에서 28~32로 교체해보고싶은데 국토종주중 중간중간 공도로 우회 할거같은데 28c 가 낫을까요 30~32가 낫을지 고민입니다...
76,자전거 국토 종주 시작! 뚝섬전망콤플렉스 인증센터,2일 전,"그렇게하여 시작된 자전거 국토종주.. 아.. 사실 아직 시작은 안 했다. 정말 딱 하나 찍었기 때문에...ㅎㅎ 언제 다 찍을 수 있을지는 모르겠지만..... 선물 받은 국토종주 인증 수첩! 다른 선물도 좋지만, 추억을 같이 만들어..."
77,국토종주 자전거,2021.07.13.,************************************************ 안녕하세요 나이 더 먹기전에 국토종주 한번 해보고 싶어서 질문드립니다. 국토종주 전용 자전거를 구비해야 할것 같아서 MTB로 알아보고 있구요... 음... 가격은 100만원선으로...
78,나의 국토종주 이야기,2021.07.29.,★ 챌린지 미션에 맞는 글을 올려주세요 엉뚱한 글로 선정 검증 때 운영진의 불필요한 시간 소비 안하게해주세요 ★ ******************************************* 올해안에 국토종주를 이루어보자는 생각으로 주말에 종주하고 자린이...
79,분당에서 서해 아라갑문 (국토종주),2021.08.07.,자전거 국토종주를 8월 넷째주 계획중인데 서해 아라갑문에서 보통 시작으로 알고 있습니다. 분당에서 서해아라갑문 시작점까지 가는 방법이 있을까요? 자전거는 이용하지 않고 지하철이나 버스를 통한 방법이요.....
